date,description,amount,category,transaction_type
2024-12-14,Consulting Fee,130811.29,Salary,Income
2024-12-14,Monthly Rent,13351.23,Rent,Expense
2024-12-14,Water Bill,1504.11,Bills & Utilities,Expense
2024-12-14,Hospital Bill,1508.16,Healthcare,Expense
2024-12-14,DMart,651.88,Shopping,Expense
2024-12-15,Airtel Broadband,2845.45,Bills & Utilities,Expense
2024-12-15,PVR Cinemas,1140.8,Entertainment,Expense
2024-12-15,McDonalds,2667.65,Food,Expense
2024-12-15,Indian Railways,1730.6,Transportation,Expense
2024-12-15,Electricity Bill,2032.92,Bills & Utilities,Expense
2024-12-15,Freelance Gig,123178.16,Salary,Income
2024-12-15,Reliance Digital,2973.73,Shopping,Expense
2024-12-15,Gas Cylinder,622.11,Bills & Utilities,Expense
2024-12-16,Dominos Pizza,615.67,Food,Expense
2024-12-16,Uber,903.19,Transportation,Expense
2024-12-16,Cafe Coffee Day,2462.01,Food,Expense
2024-12-16,Apollo Pharmacy,352.69,Healthcare,Expense
2024-12-16,Netflix,2507.7,Entertainment,Expense
2024-12-16,Indian Railways,2433.65,Transportation,Expense
2024-12-16,Starbucks,1584.68,Food,Expense
2024-12-16,Tech Corp Salary,68848.39,Salary,Income
2024-12-16,Metro Card Recharge,2784.4,Transportation,Expense
2024-12-16,Zomato,572.75,Food,Expense
2024-12-17,Swiggy,845.4,Food,Expense
2024-12-17,Uber,375.05,Transportation,Expense
2024-12-17,Dominos Pizza,1232.02,Food,Expense
2024-12-17,Practo Consultation,592.56,Healthcare,Expense
2024-12-17,Local Bakery,1435.66,Food,Expense
2024-12-17,Starbucks,764.93,Food,Expense
2024-12-17,Swiggy,1055.24,Food,Expense
2024-12-17,Local Bakery,1674.85,Food,Expense
2024-12-17,Spotify,2275.14,Entertainment,Expense
2024-12-17,Local Bakery,619.27,Food,Expense
2024-12-17,Dominos Pizza,1792.8,Food,Expense
2024-12-17,Cafe Coffee Day,2342.0,Food,Expense
2024-12-18,Starbucks,388.53,Food,Expense
2024-12-18,Monthly Rent,19361.46,Rent,Expense
2024-12-18,Flipkart,617.39,Shopping,Expense
2024-12-18,Petrol Pump,863.38,Transportation,Expense
2024-12-18,Cafe Coffee Day,1971.56,Food,Expense
2024-12-18,Flipkart,1574.77,Shopping,Expense
2024-12-18,Ola,1551.57,Transportation,Expense
2024-12-19,Ola,1964.78,Transportation,Expense
2024-12-19,Dental Checkup,703.57,Healthcare,Expense
2024-12-19,Practo Consultation,2440.37,Healthcare,Expense
2024-12-19,Airtel Broadband,2928.51,Bills & Utilities,Expense
2024-12-19,Amazon,1059.41,Shopping,Expense
2024-12-19,Zomato,1742.91,Food,Expense
2024-12-19,Amazon Prime,1464.14,Entertainment,Expense
2024-12-19,Ola,2387.63,Transportation,Expense
2024-12-19,Flipkart,1280.59,Shopping,Expense
2024-12-20,Dominos Pizza,1388.66,Food,Expense
2024-12-20,Petrol Pump,1704.04,Transportation,Expense
2024-12-20,Tech Corp Salary,123106.07,Salary,Income
2024-12-20,Electricity Bill,189.14,Bills & Utilities,Expense
2024-12-20,Uber,561.78,Transportation,Expense
2024-12-20,Indigo Airlines,12663.03,Travel,Expense
2024-12-20,Indian Railways,2124.05,Transportation,Expense
2024-12-20,BookMyShow,2166.88,Entertainment,Expense
2024-12-20,Local Bakery,2396.4,Food,Expense
2024-12-21,Dominos Pizza,250.56,Food,Expense
2024-12-21,Ola,2568.31,Transportation,Expense
2024-12-21,Ola,1993.32,Transportation,Expense
2024-12-21,Ola,1651.56,Transportation,Expense
2024-12-21,Gas Cylinder,423.79,Bills & Utilities,Expense
2024-12-21,Metro Card Recharge,2410.44,Transportation,Expense
2024-12-22,Monthly Rent,27022.06,Rent,Expense
2024-12-22,Petrol Pump,2673.37,Transportation,Expense
2024-12-22,Starbucks,569.92,Food,Expense
2024-12-22,Electricity Bill,262.09,Bills & Utilities,Expense
2024-12-22,Starbucks,995.0,Food,Expense
2024-12-22,Amazon,1554.38,Shopping,Expense
2024-12-22,Gas Cylinder,2549.67,Bills & Utilities,Expense
2024-12-22,Local Bakery,963.09,Food,Expense
2024-12-22,Metro Card Recharge,1727.98,Transportation,Expense
2024-12-22,Monthly Rent,22052.32,Rent,Expense
2024-12-23,McDonalds,410.11,Food,Expense
2024-12-23,Uber,1352.77,Transportation,Expense
2024-12-23,Uber,1925.04,Transportation,Expense
2024-12-23,McDonalds,1772.06,Food,Expense
2024-12-23,Gas Cylinder,818.05,Bills & Utilities,Expense
2024-12-25,Starbucks,203.29,Food,Expense
2024-12-25,Freelance Gig,58363.47,Salary,Income
2024-12-25,Monthly Rent,23314.53,Rent,Expense
2024-12-25,Ola,1143.29,Transportation,Expense
2024-12-25,Amazon,737.47,Shopping,Expense
2024-12-25,Petrol Pump,1830.56,Transportation,Expense
2024-12-26,MakeMyTrip,3642.18,Travel,Expense
2024-12-26,Dental Checkup,2486.68,Healthcare,Expense
2024-12-26,McDonalds,2578.91,Food,Expense
2024-12-26,BookMyShow,2350.23,Entertainment,Expense
2024-12-26,Freelance Gig,48225.71,Salary,Income
2024-12-26,Swiggy,1676.64,Food,Expense
2024-12-26,Freelance Gig,136669.63,Salary,Income
2024-12-26,Freelance Gig,126347.78,Salary,Income
2024-12-26,Monthly Rent,22729.56,Rent,Expense
2024-12-27,DMart,1112.89,Shopping,Expense
2024-12-27,Spotify,2019.38,Entertainment,Expense
2024-12-27,Reliance Digital,1181.78,Shopping,Expense
2024-12-27,Electricity Bill,1145.07,Bills & Utilities,Expense
2024-12-28,Practo Consultation,1500.91,Healthcare,Expense
2024-12-28,MakeMyTrip,5028.14,Travel,Expense
2024-12-28,Zomato,2255.49,Food,Expense
2024-12-28,Local Bakery,475.14,Food,Expense
2024-12-28,McDonalds,2456.29,Food,Expense
2024-12-28,Zomato,1162.69,Food,Expense
2024-12-28,Amazon,2421.09,Shopping,Expense
2024-12-28,Uber,423.36,Transportation,Expense
2024-12-28,Ola,574.55,Transportation,Expense
2024-12-28,Spotify,1011.51,Entertainment,Expense
2024-12-29,Freelance Gig,70012.42,Salary,Income
2024-12-29,Tech Corp Salary,120546.12,Salary,Income
2024-12-29,Petrol Pump,872.41,Transportation,Expense
2024-12-29,Local Bakery,2319.25,Food,Expense
2024-12-29,Uber,2952.63,Transportation,Expense
2024-12-29,Starbucks,294.36,Food,Expense
2024-12-29,Indian Railways,620.99,Transportation,Expense
2024-12-29,Consulting Fee,65992.96,Salary,Income
2024-12-29,Petrol Pump,1313.62,Transportation,Expense
2024-12-30,Starbucks,2025.05,Food,Expense
2024-12-30,BookMyShow,1611.96,Entertainment,Expense
2024-12-30,Flipkart,872.46,Shopping,Expense
2024-12-30,Apollo Pharmacy,1883.98,Healthcare,Expense
2024-12-30,Uber,1022.72,Transportation,Expense
2024-12-30,Amazon Prime,1138.8,Entertainment,Expense
2024-12-30,Monthly Rent,17043.21,Rent,Expense
2024-12-31,Netflix,2164.29,Entertainment,Expense
2024-12-31,Monthly Rent,10486.46,Rent,Expense
2024-12-31,Myntra,2871.19,Shopping,Expense
2024-12-31,Spotify,557.91,Entertainment,Expense
2024-12-31,Airtel Broadband,2662.7,Bills & Utilities,Expense
2024-12-31,Amazon Prime,990.14,Entertainment,Expense
2024-12-31,Metro Card Recharge,940.58,Transportation,Expense
2024-12-31,Zomato,1992.63,Food,Expense
2024-12-31,Water Bill,1247.37,Bills & Utilities,Expense
2024-12-31,Electricity Bill,750.46,Bills & Utilities,Expense
2024-12-31,Indian Railways,1968.72,Transportation,Expense
2024-12-31,Spotify,195.2,Entertainment,Expense
2024-12-31,Monthly Rent,19299.15,Rent,Expense
2025-01-01,Swiggy,13504.15,Food,Expense
2025-01-01,McDonalds,2982.64,Food,Expense
2025-01-01,Indigo Airlines,3207.79,Travel,Expense
2025-01-01,Indian Railways,1047.8,Transportation,Expense
2025-01-01,Cafe Coffee Day,354.4,Food,Expense
2025-01-01,Ola,309.1,Transportation,Expense
2025-01-01,Local Bakery,725.5,Food,Expense
2025-01-01,Indian Railways,1514.48,Transportation,Expense
2025-01-01,Ola,1788.13,Transportation,Expense
2025-01-02,Uber,1526.07,Transportation,Expense
2025-01-02,Uber,1555.49,Transportation,Expense
2025-01-02,McDonalds,2655.05,Food,Expense
2025-01-02,Indian Railways,1914.19,Transportation,Expense
2025-01-02,Monthly Rent,18543.94,Rent,Expense
2025-01-02,Cafe Coffee Day,452.0,Food,Expense
2025-01-02,Hotel Taj,6805.09,Travel,Expense
2025-01-02,DMart,1593.83,Shopping,Expense
2025-01-02,Electricity Bill,1352.01,Bills & Utilities,Expense
2025-01-02,Spotify,940.1,Entertainment,Expense
2025-01-02,Ola,5836.84,Transportation,Expense
2025-01-02,Ola,1667.98,Transportation,Expense
2025-01-02,Amazon,983.2,Shopping,Expense
2025-01-03,Monthly Rent,27465.46,Rent,Expense
2025-01-03,Swiggy,1235.05,Food,Expense
2025-01-03,MakeMyTrip,8371.45,Travel,Expense
2025-01-03,DMart,1821.21,Shopping,Expense
2025-01-03,Gas Cylinder,2093.29,Bills & Utilities,Expense
2025-01-03,PVR Cinemas,770.71,Entertainment,Expense
2025-01-04,Dental Checkup,914.41,Healthcare,Expense
2025-01-04,McDonalds,777.6,Food,Expense
2025-01-04,BookMyShow,2965.76,Entertainment,Expense
2025-01-04,Spotify,265.37,Entertainment,Expense
2025-01-05,Petrol Pump,1125.6,Transportation,Expense
2025-01-05,Amazon,980.44,Shopping,Expense
2025-01-05,Myntra,544.87,Shopping,Expense
2025-01-05,Metro Card Recharge,2803.64,Transportation,Expense
2025-01-05,Amazon Prime,2563.7,Entertainment,Expense
2025-01-05,Zomato,2200.61,Food,Expense
2025-01-06,Ola,2926.99,Transportation,Expense
2025-01-06,Dominos Pizza,743.8,Food,Expense
2025-01-06,Consulting Fee,143893.03,Salary,Income
2025-01-06,Jio Recharge,2320.1,Bills & Utilities,Expense
2025-01-06,Zara,2161.71,Shopping,Expense
2025-01-06,PVR Cinemas,1130.17,Entertainment,Expense
2025-01-06,Indian Railways,485.29,Transportation,Expense
2025-01-06,Amazon,2133.2,Shopping,Expense
2025-01-06,Dominos Pizza,2671.6,Food,Expense
2025-01-07,Jio Recharge,374.82,Bills & Utilities,Expense
2025-01-07,Zomato,2178.81,Food,Expense
2025-01-07,Electricity Bill,1612.38,Bills & Utilities,Expense
2025-01-08,Myntra,456.96,Shopping,Expense
2025-01-08,Cafe Coffee Day,1275.19,Food,Expense
2025-01-08,Ola,1114.9,Transportation,Expense
2025-01-08,Netflix,2633.86,Entertainment,Expense
2025-01-09,Amazon,2760.5,Shopping,Expense
2025-01-09,Hotel Taj,2520.77,Travel,Expense
2025-01-09,Consulting Fee,89485.03,Salary,Income
2025-01-09,Swiggy,288.32,Food,Expense
2025-01-09,Zomato,1047.0,Food,Expense
2025-01-09,Monthly Rent,18880.89,Rent,Expense
2025-01-09,Water Bill,2406.82,Bills & Utilities,Expense
2025-01-09,Myntra,2304.11,Shopping,Expense
2025-01-09,Cafe Coffee Day,1496.14,Food,Expense
2025-01-10,Gas Cylinder,296.92,Bills & Utilities,Expense
2025-01-10,McDonalds,2783.44,Food,Expense
2025-01-10,PVR Cinemas,1155.6,Entertainment,Expense
2025-01-11,Amazon,1446.99,Shopping,Expense
2025-01-11,PVR Cinemas,208.53,Entertainment,Expense
2025-01-11,BookMyShow,2402.89,Entertainment,Expense
2025-01-11,Jio Recharge,1458.17,Bills & Utilities,Expense
2025-01-11,Local Bakery,1455.97,Food,Expense
2025-01-11,Monthly Rent,14012.44,Rent,Expense
2025-01-11,Petrol Pump,2093.6,Transportation,Expense
2025-01-12,Indian Railways,1897.74,Transportation,Expense
2025-01-12,Cafe Coffee Day,2403.73,Food,Expense
2025-01-12,Local Bakery,2301.04,Food,Expense
2025-01-12,Local Bakery,2087.08,Food,Expense
2025-01-12,McDonalds,1745.31,Food,Expense
2025-01-12,PVR Cinemas,2153.96,Entertainment,Expense
2025-01-12,Dominos Pizza,1475.41,Food,Expense
2025-01-13,DMart,1400.1,Shopping,Expense
2025-01-13,Uber,1876.38,Transportation,Expense
2025-01-13,Dominos Pizza,787.01,Food,Expense
2025-01-14,Netflix,1497.2,Entertainment,Expense
2025-01-14,Uber,1715.33,Transportation,Expense
2025-01-14,Local Bakery,1990.85,Food,Expense
2025-01-14,Reliance Digital,1333.76,Shopping,Expense
2025-01-15,Dental Checkup,15702.54,Healthcare,Expense
2025-01-15,Netflix,872.54,Entertainment,Expense
2025-01-15,Dominos Pizza,1940.18,Food,Expense
2025-01-15,Spotify,554.64,Entertainment,Expense
2025-01-15,Cafe Coffee Day,1539.51,Food,Expense
2025-01-15,Cafe Coffee Day,2237.7,Food,Expense
2025-01-15,Hospital Bill,928.48,Healthcare,Expense
2025-01-15,Practo Consultation,2579.3,Healthcare,Expense
2025-01-15,Monthly Rent,17359.17,Rent,Expense
2025-01-15,Gas Cylinder,954.08,Bills & Utilities,Expense
2025-01-15,Netflix,2181.31,Entertainment,Expense
2025-01-15,Cafe Coffee Day,557.07,Food,Expense
2025-01-15,Jio Recharge,574.84,Bills & Utilities,Expense
2025-01-15,Zara,2013.98,Shopping,Expense
2025-01-15,Consulting Fee,45037.06,Salary,Income
2025-01-16,Consulting Fee,139970.29,Salary,Income
2025-01-16,Uber,2276.07,Transportation,Expense
2025-01-16,BookMyShow,2658.64,Entertainment,Expense
2025-01-16,Amazon Prime,1457.97,Entertainment,Expense
2025-01-16,Zara,1109.0,Shopping,Expense
2025-01-17,Indigo Airlines,2360.64,Travel,Expense
2025-01-17,Cafe Coffee Day,2585.01,Food,Expense
2025-01-17,Swiggy,2881.58,Food,Expense
2025-01-17,Consulting Fee,91828.44,Salary,Income
2025-01-17,BookMyShow,161.31,Entertainment,Expense
2025-01-17,Ola,1851.0,Transportation,Expense
2025-01-18,McDonalds,1000.72,Food,Expense
2025-01-18,Indian Railways,1023.39,Transportation,Expense
2025-01-18,McDonalds,1432.86,Food,Expense
2025-01-18,Dominos Pizza,1627.11,Food,Expense
2025-01-19,Zara,2897.54,Shopping,Expense
2025-01-19,Monthly Rent,13204.92,Rent,Expense
2025-01-19,Metro Card Recharge,811.37,Transportation,Expense
2025-01-19,Metro Card Recharge,2155.3,Transportation,Expense
2025-01-19,Spotify,2668.5,Entertainment,Expense
2025-01-19,Reliance Digital,1618.87,Shopping,Expense
2025-01-19,Tech Corp Salary,143774.36,Salary,Income
2025-01-19,Dominos Pizza,1367.51,Food,Expense
2025-01-19,Ola,2614.48,Transportation,Expense
2025-01-20,Apollo Pharmacy,2413.24,Healthcare,Expense
2025-01-20,BookMyShow,549.5,Entertainment,Expense
2025-01-20,Swiggy,1090.15,Food,Expense
2025-01-20,Monthly Rent,29503.99,Rent,Expense
2025-01-20,Zomato,2550.66,Food,Expense
2025-01-20,Local Bakery,1551.92,Food,Expense
2025-01-20,Local Bakery,2207.4,Food,Expense
2025-01-20,Zomato,1334.65,Food,Expense
2025-01-21,Cafe Coffee Day,1786.15,Food,Expense
2025-01-21,Flipkart,2550.71,Shopping,Expense
2025-01-21,Indian Railways,511.61,Transportation,Expense
2025-01-21,Petrol Pump,154.06,Transportation,Expense
2025-01-21,DMart,918.95,Shopping,Expense
2025-01-21,Swiggy,257.75,Food,Expense
2025-01-21,Monthly Rent,17559.4,Rent,Expense
2025-01-22,Ola,550.02,Transportation,Expense
2025-01-22,McDonalds,268.96,Food,Expense
2025-01-22,Zomato,1099.55,Food,Expense
2025-01-22,Uber,348.98,Transportation,Expense
2025-01-22,Netflix,196.5,Entertainment,Expense
2025-01-22,Zomato,2784.98,Food,Expense
2025-01-22,PVR Cinemas,1182.97,Entertainment,Expense
2025-01-22,Monthly Rent,15997.77,Rent,Expense
2025-01-23,Zomato,2276.32,Food,Expense
2025-01-24,Zomato,2701.55,Food,Expense
2025-01-24,Myntra,1490.08,Shopping,Expense
2025-01-24,Airtel Broadband,786.74,Bills & Utilities,Expense
2025-01-24,Monthly Rent,27892.75,Rent,Expense
2025-01-24,Consulting Fee,90761.39,Salary,Income
2025-01-24,Amazon,509.92,Shopping,Expense
2025-01-24,Swiggy,1254.34,Food,Expense
2025-01-24,PVR Cinemas,665.99,Entertainment,Expense
2025-01-25,Dominos Pizza,1144.31,Food,Expense
2025-01-25,BookMyShow,2676.61,Entertainment,Expense
2025-01-25,McDonalds,171.44,Food,Expense
2025-01-25,Starbucks,1536.75,Food,Expense
2025-01-25,Swiggy,1851.26,Food,Expense
2025-01-25,Metro Card Recharge,2614.67,Transportation,Expense
2025-01-26,Amazon,2256.49,Shopping,Expense
2025-01-26,McDonalds,2960.6,Food,Expense
2025-01-26,MakeMyTrip,10065.2,Travel,Expense
2025-01-26,Cafe Coffee Day,327.68,Food,Expense
2025-01-26,Flipkart,1951.45,Shopping,Expense
2025-01-27,Myntra,383.88,Shopping,Expense
2025-01-27,Zomato,1595.44,Food,Expense
2025-01-27,Uber,1860.37,Transportation,Expense
2025-01-27,Reliance Digital,1853.73,Shopping,Expense
2025-01-27,Dominos Pizza,2059.86,Food,Expense
2025-01-27,Gas Cylinder,1625.1,Bills & Utilities,Expense
2025-01-27,Spotify,1314.9,Entertainment,Expense
2025-01-28,Zara,724.9,Shopping,Expense
2025-01-28,DMart,2599.14,Shopping,Expense
2025-01-28,Monthly Rent,13164.01,Rent,Expense
2025-01-28,Reliance Digital,195.0,Shopping,Expense
2025-01-28,Tech Corp Salary,45937.33,Salary,Income
2025-01-29,Starbucks,896.46,Food,Expense
2025-01-29,Hospital Bill,2579.24,Healthcare,Expense
2025-01-29,Dominos Pizza,2151.38,Food,Expense
2025-01-29,Local Bakery,515.27,Food,Expense
2025-01-29,Water Bill,1043.22,Bills & Utilities,Expense
2025-01-29,Indian Railways,1533.64,Transportation,Expense
2025-01-29,Petrol Pump,851.08,Transportation,Expense
2025-01-29,Indian Railways,422.57,Transportation,Expense
2025-01-29,Netflix,2353.0,Entertainment,Expense
2025-01-30,Myntra,614.04,Shopping,Expense
2025-01-30,Dominos Pizza,1581.93,Food,Expense
2025-01-30,Cafe Coffee Day,2292.34,Food,Expense
2025-01-30,Gas Cylinder,981.25,Bills & Utilities,Expense
2025-01-30,Myntra,2798.3,Shopping,Expense
2025-01-30,Reliance Digital,1122.28,Shopping,Expense
2025-01-31,DMart,1930.74,Shopping,Expense
2025-01-31,BookMyShow,636.86,Entertainment,Expense
2025-02-01,Ola,1704.63,Transportation,Expense
2025-02-01,Jio Recharge,1473.07,Bills & Utilities,Expense
2025-02-01,Petrol Pump,379.8,Transportation,Expense
2025-02-01,McDonalds,743.12,Food,Expense
2025-02-01,Indian Railways,2811.08,Transportation,Expense
2025-02-01,PVR Cinemas,1578.87,Entertainment,Expense
2025-02-02,McDonalds,590.95,Food,Expense
2025-02-02,Jio Recharge,2310.42,Bills & Utilities,Expense
2025-02-02,McDonalds,2909.95,Food,Expense
2025-02-02,Indian Railways,1403.91,Transportation,Expense
2025-02-02,Swiggy,2785.19,Food,Expense
2025-02-02,Amazon,406.72,Shopping,Expense
2025-02-02,Zomato,2515.24,Food,Expense
2025-02-02,Uber,705.44,Transportation,Expense
2025-02-02,Zomato,854.24,Food,Expense
2025-02-02,Metro Card Recharge,2625.78,Transportation,Expense
2025-02-02,Cafe Coffee Day,623.7,Food,Expense
2025-02-03,Ola,1804.86,Transportation,Expense
2025-02-03,Amazon,764.21,Shopping,Expense
2025-02-03,Uber,1364.86,Transportation,Expense
2025-02-03,Zomato,1562.78,Food,Expense
2025-02-03,Indian Railways,1432.18,Transportation,Expense
2025-02-04,DMart,143.88,Shopping,Expense
2025-02-04,Water Bill,1568.81,Bills & Utilities,Expense
2025-02-04,DMart,1644.62,Shopping,Expense
2025-02-04,Local Bakery,1417.76,Food,Expense
2025-02-04,Local Bakery,24578.49,Food,Expense
2025-02-04,Apollo Pharmacy,1724.84,Healthcare,Expense
2025-02-04,Swiggy,1927.75,Food,Expense
2025-02-05,Swiggy,2246.87,Food,Expense
2025-02-06,Metro Card Recharge,2041.45,Transportation,Expense
2025-02-06,Zara,1217.33,Shopping,Expense
2025-02-06,Swiggy,2023.41,Food,Expense
2025-02-06,Consulting Fee,54565.54,Salary,Income
2025-02-06,Uber,1685.33,Transportation,Expense
2025-02-06,Ola,550.32,Transportation,Expense
2025-02-07,Swiggy,1472.94,Food,Expense
2025-02-08,Dominos Pizza,2474.8,Food,Expense
2025-02-08,Tech Corp Salary,45046.71,Salary,Income
2025-02-08,Swiggy,2747.13,Food,Expense
2025-02-08,Jio Recharge,323.43,Bills & Utilities,Expense
2025-02-08,Local Bakery,2285.84,Food,Expense
2025-02-08,BookMyShow,217.7,Entertainment,Expense
2025-02-09,Electricity Bill,1482.91,Bills & Utilities,Expense
2025-02-09,Reliance Digital,1372.55,Shopping,Expense
2025-02-09,Ola,1491.72,Transportation,Expense
2025-02-09,Zomato,1433.5,Food,Expense
2025-02-09,Monthly Rent,19454.24,Rent,Expense
2025-02-09,Jio Recharge,2291.56,Bills & Utilities,Expense
2025-02-09,Starbucks,2733.96,Food,Expense
2025-02-09,Apollo Pharmacy,281.83,Healthcare,Expense
2025-02-09,Electricity Bill,2643.29,Bills & Utilities,Expense
2025-02-09,BookMyShow,1100.12,Entertainment,Expense
2025-02-10,Apollo Pharmacy,2234.78,Healthcare,Expense
2025-02-10,Netflix,369.55,Entertainment,Expense
2025-02-10,Petrol Pump,110.92,Transportation,Expense
2025-02-10,Amazon Prime,2357.11,Entertainment,Expense
2025-02-10,Reliance Digital,2783.23,Shopping,Expense
2025-02-10,Airtel Broadband,1444.74,Bills & Utilities,Expense
2025-02-11,Local Bakery,1614.76,Food,Expense
2025-02-11,Indian Railways,1743.16,Transportation,Expense
2025-02-11,Swiggy,1898.96,Food,Expense
2025-02-11,Consulting Fee,60906.98,Salary,Income
2025-02-11,Flipkart,2681.49,Shopping,Expense
2025-02-12,Indigo Airlines,10184.15,Travel,Expense
2025-02-12,Ola,1560.66,Transportation,Expense
2025-02-12,McDonalds,2047.97,Food,Expense
2025-02-12,Spotify,2915.73,Entertainment,Expense
2025-02-12,Hotel Taj,6137.3,Travel,Expense
2025-02-12,Reliance Digital,2938.26,Shopping,Expense
2025-02-12,Zomato,509.96,Food,Expense
2025-02-12,Myntra,481.8,Shopping,Expense
2025-02-13,PVR Cinemas,2554.09,Entertainment,Expense
2025-02-13,Petrol Pump,682.94,Transportation,Expense
2025-02-13,Amazon Prime,2418.61,Entertainment,Expense
2025-02-13,Cafe Coffee Day,927.64,Food,Expense
2025-02-13,Local Bakery,356.52,Food,Expense
2025-02-13,Airtel Broadband,1655.72,Bills & Utilities,Expense
2025-02-13,Airtel Broadband,2901.33,Bills & Utilities,Expense
2025-02-13,DMart,280.07,Shopping,Expense
2025-02-13,Electricity Bill,1321.24,Bills & Utilities,Expense
2025-02-13,Amazon,2845.33,Shopping,Expense
2025-02-14,PVR Cinemas,2161.78,Entertainment,Expense
2025-02-14,Jio Recharge,791.48,Bills & Utilities,Expense
2025-02-14,Starbucks,2476.44,Food,Expense
2025-02-14,Myntra,678.79,Shopping,Expense
2025-02-14,Starbucks,445.91,Food,Expense
2025-02-14,McDonalds,2689.94,Food,Expense
2025-02-14,Practo Consultation,368.45,Healthcare,Expense
2025-02-14,Zara,252.08,Shopping,Expense
2025-02-15,Metro Card Recharge,2993.97,Transportation,Expense
2025-02-15,Flipkart,2643.81,Shopping,Expense
2025-02-15,Zara,886.13,Shopping,Expense
2025-02-15,Amazon Prime,1636.82,Entertainment,Expense
2025-02-15,Monthly Rent,20979.88,Rent,Expense
2025-02-15,Gas Cylinder,2462.99,Bills & Utilities,Expense
2025-02-16,Swiggy,1953.9,Food,Expense
2025-02-16,Monthly Rent,14190.47,Rent,Expense
2025-02-16,Gas Cylinder,2913.58,Bills & Utilities,Expense
2025-02-16,Jio Recharge,1760.64,Bills & Utilities,Expense
2025-02-16,McDonalds,2657.96,Food,Expense
2025-02-16,Consulting Fee,124264.34,Salary,Income
2025-02-16,Petrol Pump,2467.44,Transportation,Expense
2025-02-16,Local Bakery,868.43,Food,Expense
2025-02-16,PVR Cinemas,618.61,Entertainment,Expense
2025-02-17,Swiggy,662.65,Food,Expense
2025-02-17,Apollo Pharmacy,2808.07,Healthcare,Expense
2025-02-17,Ola,2615.05,Transportation,Expense
2025-02-17,Zara,533.53,Shopping,Expense
2025-02-17,Amazon Prime,646.42,Entertainment,Expense
2025-02-17,Hotel Taj,11105.79,Travel,Expense
2025-02-18,Ola,9006.81,Transportation,Expense
2025-02-18,DMart,1442.27,Shopping,Expense
2025-02-18,Cafe Coffee Day,2138.79,Food,Expense
2025-02-18,Zomato,2294.6,Food,Expense
2025-02-18,BookMyShow,2903.21,Entertainment,Expense
2025-02-19,Water Bill,142.78,Bills & Utilities,Expense
2025-02-19,Cafe Coffee Day,1699.61,Food,Expense
2025-02-19,Dominos Pizza,1529.45,Food,Expense
2025-02-19,Uber,360.44,Transportation,Expense
2025-02-19,Hospital Bill,2857.81,Healthcare,Expense
2025-02-19,Hotel Taj,36849.74,Travel,Expense
2025-02-19,Netflix,236.63,Entertainment,Expense
2025-02-19,Zomato,596.49,Food,Expense
2025-02-19,Monthly Rent,20582.55,Rent,Expense
2025-02-19,Flipkart,878.68,Shopping,Expense
2025-02-20,Zomato,614.68,Food,Expense
2025-02-20,Metro Card Recharge,1387.78,Transportation,Expense
2025-02-20,Dominos Pizza,679.14,Food,Expense
2025-02-20,Uber,231.6,Transportation,Expense
2025-02-20,Cafe Coffee Day,925.68,Food,Expense
2025-02-20,BookMyShow,1759.98,Entertainment,Expense
2025-02-20,Dominos Pizza,645.68,Food,Expense
2025-02-20,Zara,933.23,Shopping,Expense
2025-02-21,Gas Cylinder,1747.14,Bills & Utilities,Expense
2025-02-21,Reliance Digital,2889.3,Shopping,Expense
2025-02-21,Netflix,2863.59,Entertainment,Expense
2025-02-21,Airtel Broadband,1699.74,Bills & Utilities,Expense
2025-02-21,Consulting Fee,140313.2,Salary,Income
2025-02-21,Tech Corp Salary,143357.52,Salary,Income
2025-02-22,BookMyShow,2299.1,Entertainment,Expense
2025-02-22,Flipkart,1122.36,Shopping,Expense
2025-02-22,Flipkart,1915.87,Shopping,Expense
2025-02-22,Airtel Broadband,1107.88,Bills & Utilities,Expense
2025-02-22,Zomato,239.82,Food,Expense
2025-02-22,Swiggy,436.91,Food,Expense
2025-02-22,Ola,2681.7,Transportation,Expense
2025-02-23,Starbucks,701.37,Food,Expense
2025-02-23,Swiggy,2893.23,Food,Expense
2025-02-23,Indian Railways,1589.73,Transportation,Expense
2025-02-24,Apollo Pharmacy,377.81,Healthcare,Expense
2025-02-24,Jio Recharge,333.07,Bills & Utilities,Expense
2025-02-24,Zomato,2837.46,Food,Expense
2025-02-24,Ola,2661.68,Transportation,Expense
2025-02-24,Zara,1795.57,Shopping,Expense
2025-02-24,Uber,2935.16,Transportation,Expense
2025-02-24,Water Bill,1105.31,Bills & Utilities,Expense
2025-02-24,Water Bill,1238.98,Bills & Utilities,Expense
2025-02-24,Reliance Digital,2971.84,Shopping,Expense
2025-02-24,Local Bakery,1694.71,Food,Expense
2025-02-25,Hospital Bill,2523.18,Healthcare,Expense
2025-02-25,Jio Recharge,2112.69,Bills & Utilities,Expense
2025-02-25,Water Bill,1101.27,Bills & Utilities,Expense
2025-02-25,Uber,1901.97,Transportation,Expense
2025-02-25,Uber,2316.9,Transportation,Expense
2025-02-25,Myntra,1891.61,Shopping,Expense
2025-02-25,Monthly Rent,23191.37,Rent,Expense
2025-02-26,McDonalds,601.18,Food,Expense
2025-02-26,Myntra,455.22,Shopping,Expense
2025-02-26,Monthly Rent,28747.36,Rent,Expense
2025-02-26,Ola,1922.47,Transportation,Expense
